Date,Open,High,Low,Close,Volume,Adj Close
2012-03-09,85.059998,85.129997,84.050003,84.300003,17042500,74.974057
2012-03-08,85.00,85.470001,84.629997,84.830002,19032000,75.445423
2012-03-07,86.010002,86.120003,85.190002,85.830002,14767700,76.334795
2012-03-06,86.239998,86.480003,85.419998,85.860001,16507900,76.361475
2012-03-05,86.169998,87.089996,85.910004,87.010002,12803100,77.384254
2012-03-02,86.660004,86.75,85.849998,86.330002,11343400,76.77948
2012-03-01,86.470001,87.18,86.410004,86.830002,12638500,77.224166
2012-02-29,87.449997,87.489998,86.209999,86.50,18293200,76.930672
2012-02-28,87.230003,87.440002,86.550003,87.139999,14317600,77.49987
2012-02-27,87.150002,87.830002,86.779999,87.230003,13323500,77.579917
2012-02-24,87.370003,87.470001,87.010002,87.339996,10767100,77.677741
2012-02-23,86.580002,87.169998,86.470001,87.019997,12404600,77.393142
2012-02-22,86.839996,87.25,86.650002,86.919998,11983200,77.304207
2012-02-21,86.040001,86.779999,86.040001,86.57,15481300,76.992928
2012-02-17,86.07,86.120003,84.919998,85.620003,16597200,76.148027
2012-02-16,84.449997,85.620003,84.080002,85.410004,14769600,75.96126
2012-02-15,84.860001,84.919998,83.910004,84.120003,13911600,74.813969
2012-02-14,84.419998,84.709999,83.849998,84.669998,12961900,75.30312
2012-02-13,84.339996,84.599998,83.889999,84.419998,11473700,75.080777
2012-02-10,84.019997,84.099998,83.349998,83.800003,15328900,74.529371
2012-02-09,85.330002,85.690002,84.669998,84.879997,17073400,75.489887
2012-02-08,85.830002,86.220001,84.730003,85.32,14762600,75.881213
2012-02-07,85.220001,86.440002,84.940002,86.339996,15818400,76.370364
2012-02-06,84.870003,85.849998,84.489998,85.75,15000900,75.848494
2012-02-03,84.239998,85.00,84.050003,84.919998,16145400,75.114332
2012-02-02,84.279999,84.339996,83.190002,83.529999,18020500,73.884835
2012-02-01,84.230003,84.559998,83.379997,83.970001,22266100,74.274031
2012-01-31,84.919998,85.339996,83.459999,83.739998,27225800,74.070586
2012-01-30,85.269997,85.50,84.589996,85.489998,17867000,75.618514
2012-01-27,86.239998,86.50,85.769997,85.830002,15976700,75.919258
2012-01-26,87.639999,87.709999,86.510002,86.769997,15658200,76.750712
2012-01-25,86.769997,87.379997,85.809998,87.220001,18202300,77.148755
2012-01-24,87.080002,87.220001,86.660004,87.18,12363800,77.113373
2012-01-23,87.50,87.940002,87.029999,87.470001,15348400,77.369888
2012-01-20,87.080002,87.489998,86.720001,87.489998,19220300,77.387575
2012-01-19,86.339996,87.239998,85.769997,87.029999,16383500,76.980692
2012-01-18,85.300003,86.50,84.959999,86.449997,16754200,76.467663
2012-01-17,85.75,86.129997,85.400002,85.690002,15627900,75.795424
2012-01-13,84.160004,84.919998,83.82,84.879997,15551600,75.07895
2012-01-12,84.389999,84.919998,83.940002,84.739998,17357200,74.955116
2012-01-11,85.099998,85.400002,84.470001,85.080002,14831400,75.25586
2012-01-10,86.07,86.209999,85.379997,85.720001,13080800,75.821959
2012-01-09,85.00,85.639999,84.970001,85.50,11664200,75.627362
2012-01-06,85.919998,86.00,85.110001,85.120003,15942100,75.291242
2012-01-05,85.639999,85.949997,84.919998,85.760002,17452800,75.857341
2012-01-04,85.790001,86.150002,85.099998,86.019997,16130900,76.087314
2012-01-03,85.970001,86.669998,85.900002,86.00,20906800,76.069627
2011-12-30,85.160004,85.290001,84.57,84.760002,9768900,74.972811
2011-12-29,84.089996,85.330002,84.089996,85.269997,10865900,75.423917
2011-12-28,85.150002,85.440002,84.010002,84.18,12767500,74.459781
2011-12-27,84.970001,85.629997,84.949997,85.279999,10147100,75.432764
2011-12-23,84.279999,85.230003,84.209999,85.220001,10243800,75.379694
2011-12-22,83.559998,84.830002,83.300003,84.290001,19841300,74.55708
2011-12-21,82.019997,83.339996,82.00,83.120003,19160300,73.522181
2011-12-20,80.660004,82.00,80.610001,82.00,21163300,72.531505
2011-12-19,80.239998,80.459999,79.379997,79.529999,16048400,70.346713
2011-12-16,80.739998,80.910004,79.879997,80.160004,33465700,70.903972
2011-12-15,79.93,80.599998,79.779999,80.029999,17954200,70.788978
2011-12-14,79.589996,80.169998,78.660004,79.440002,23934400,70.267109
2011-12-13,80.610001,81.809998,80.139999,80.529999,21873600,71.231244
2011-12-12,80.730003,81.089996,79.209999,80.050003,17846500,70.806673
2011-12-09,80.629997,81.75,80.339996,81.339996,21842300,71.947711
2011-12-08,80.75,80.849998,79.550003,79.870003,18443600,70.647457
2011-12-07,80.610001,81.860001,80.349998,81.080002,19643400,71.717738
2011-12-06,80.629997,81.639999,80.290001,80.82,20122700,71.487758
2011-12-05,80.879997,81.18,79.800003,80.449997,18295000,71.16048
2011-12-02,80.669998,80.739998,79.650002,79.790001,19461300,70.576693
2011-12-01,80.199997,80.349998,79.370003,79.790001,17261100,70.576693
2011-11-30,78.419998,80.529999,78.370003,80.440002,33953000,71.151639
2011-11-29,76.410004,77.50,76.139999,76.93,19768400,68.046935
2011-11-28,75.839996,76.510002,75.330002,75.839996,20148600,67.082793
2011-11-25,74.510002,75.199997,73.900002,73.900002,10254500,65.366809
2011-11-23,75.029999,75.32,74.529999,74.580002,23331800,65.96829
2011-11-22,76.379997,77.099998,75.879997,76.029999,18925100,67.250856
2011-11-21,76.529999,77.330002,76.059998,76.910004,20204200,68.029247
